[2020-03-25 07:36:48,474] DEBUG o.s.b.c.l.ClasspathLoggingApplicationListener  - Application started with classpath: [jar:file:/app.jar!/BOOT-INF/classes!/, jar:file:/app.jar!/BOOT-INF/lib/kotlin-reflect-1.3.70.jar!/, jar:file:/app.jar!/BOOT-INF/lib/kotlin-stdlib-1.3.70.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-boot-starter-web-2.2.5.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-boot-starter-security-2.2.5.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-security-oauth2-resource-server-5.3.0.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-security-oauth2-jose-5.3.0.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/kotlin-stdlib-common-1.3.70.jar!/, jar:file:/app.jar!/BOOT-INF/lib/annotations-13.0.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-boot-starter-json-2.2.5.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-boot-starter-validation-2.2.5.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-boot-starter-2.2.5.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-boot-starter-tomcat-2.2.5.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-webmvc-5.2.4.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-security-web-5.2.2.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-security-oauth2-core-5.2.2.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-web-5.2.4.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-security-config-5.2.2.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-security-core-5.2.2.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-boot-autoconfigure-2.2.5.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-boot-2.2.5.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-context-5.2.4.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-aop-5.2.4.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-beans-5.2.4.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-expression-5.2.4.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-core-5.2.4.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/nimbus-jose-jwt-8.9.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-boot-starter-logging-2.2.5.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/jakarta.annotation-api-1.3.5.jar!/, jar:file:/app.jar!/BOOT-INF/lib/snakeyaml-1.25.jar!/, jar:file:/app.jar!/BOOT-INF/lib/jackson-datatype-jdk8-2.10.2.jar!/, jar:file:/app.jar!/BOOT-INF/lib/jackson-datatype-jsr310-2.10.2.jar!/, jar:file:/app.jar!/BOOT-INF/lib/jackson-module-parameter-names-2.10.2.jar!/, jar:file:/app.jar!/BOOT-INF/lib/jackson-databind-2.10.2.jar!/, jar:file:/app.jar!/BOOT-INF/lib/tomcat-embed-websocket-9.0.31.jar!/, jar:file:/app.jar!/BOOT-INF/lib/tomcat-embed-core-9.0.31.jar!/, jar:file:/app.jar!/BOOT-INF/lib/tomcat-embed-el-9.0.31.jar!/, jar:file:/app.jar!/BOOT-INF/lib/jakarta.validation-api-2.0.2.jar!/, jar:file:/app.jar!/BOOT-INF/lib/hibernate-validator-6.0.18.Final.jar!/, jar:file:/app.jar!/BOOT-INF/lib/spring-jcl-5.2.4.RELEASE.jar!/, jar:file:/app.jar!/BOOT-INF/lib/jcip-annotations-1.0-1.jar!/, jar:file:/app.jar!/BOOT-INF/lib/json-smart-2.3.jar!/, jar:file:/app.jar!/BOOT-INF/lib/logback-classic-1.2.3.jar!/, jar:file:/app.jar!/BOOT-INF/lib/log4j-to-slf4j-2.12.1.jar!/, jar:file:/app.jar!/BOOT-INF/lib/jul-to-slf4j-1.7.30.jar!/, jar:file:/app.jar!/BOOT-INF/lib/jackson-annotations-2.10.2.jar!/, jar:file:/app.jar!/BOOT-INF/lib/jackson-core-2.10.2.jar!/, jar:file:/app.jar!/BOOT-INF/lib/jboss-logging-3.4.1.Final.jar!/, jar:file:/app.jar!/BOOT-INF/lib/classmate-1.5.1.jar!/, jar:file:/app.jar!/BOOT-INF/lib/accessors-smart-1.2.jar!/, jar:file:/app.jar!/BOOT-INF/lib/logback-core-1.2.3.jar!/, jar:file:/app.jar!/BOOT-INF/lib/slf4j-api-1.7.30.jar!/, jar:file:/app.jar!/BOOT-INF/lib/log4j-api-2.12.1.jar!/, jar:file:/app.jar!/BOOT-INF/lib/asm-5.0.4.jar!/] 

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::        (v2.2.5.RELEASE)

[2020-03-25 07:36:48,562] INFO  o.l.g.r.ResourceApplicationKt  - Starting ResourceApplicationKt on 07217cdf0556 with PID 1 (/app.jar started by root in /) 
[2020-03-25 07:36:48,563] INFO  o.l.g.r.ResourceApplicationKt  - The following profiles are active: debug 
[2020-03-25 07:36:48,563] DEBUG o.s.boot.SpringApplication  - Loading source class org.looksworking.gw.resource.ResourceApplication 
[2020-03-25 07:36:48,645] DEBUG o.s.b.c.c.ConfigFileApplicationListener  - Activated activeProfiles debug 
[2020-03-25 07:36:48,645] DEBUG o.s.b.c.c.ConfigFileApplicationListener  - Loaded config file 'jar:file:/app.jar!/BOOT-INF/classes!/application.yml' (classpath:/application.yml) 
[2020-03-25 07:36:48,646] DEBUG o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext  - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@16c0663d 
[2020-03-25 07:36:48,667] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder  - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath 
[2020-03-25 07:36:48,671] DEBUG o.s.b.f.s.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' 
[2020-03-25 07:36:48,690] DEBUG o.s.b.f.s.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory' 
[2020-03-25 07:36:48,777] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/app.jar!/BOOT-INF/classes!/org/looksworking/gw/resource/web/ResourceController.class] 
[2020-03-25 07:36:49,288] DEBUG o.s.c.e.PropertySourcesPropertyResolver  - Found key 'spring.security.oauth2.resourceserver.jwt.jwk-set-uri' in PropertySource 'configurationProperties' with value of type String 
[2020-03-25 07:36:49,290] DEBUG o.s.c.e.PropertySourcesPropertyResolver  - Found key 'spring.security.oauth2.resourceserver.jwt.jwk-set-uri' in PropertySource 'configurationProperties' with value of type String 
[2020-03-25 07:36:49,446] DEBUG o.s.b.f.s.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer' 
[2020-03-25 07:36:49,455] DEBUG o.s.b.f.s.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBeanDefinitionValidator' 
[2020-03-25 07:36:49,793] DEBUG o.s.b.f.s.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor' 
[2020-03-25 07:36:49,794] DEBUG o.s.b.f.s.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor' 
[2020-03-25 07:36:49,794] DEBUG o.s.b.f.s.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'conversionServicePostProcessor' 
[2020-03-25 07:36:49,796] DEBUG o.s.b.f.s.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory' 
[2020-03-25 07:36:49,814] DEBUG o.s.b.f.s.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor' 
[2020-03-25 07:36:49,816] DEBUG o.s.b.f.s.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor' 
[2020-03-25 07:36:49,821] DEBUG o.s.b.f.s.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor' 
[2020-03-25 07:36:49,822] DEBUG o.s.b.f.s.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder' 
[2020-03-25 07:36:49,822] DEBUG o.s.b.f.s.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinderFactory' 
[2020-03-25 07:36:49,825] DEBUG o.s.b.f.s.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'methodValidationPostProcessor' 
[2020-03-25 07:36:49,849] DEBUG o.s.b.f.s.DefaultListableBeanFactory  - Autowiring by type from bean name 'methodValidationPostProcessor' via factory method to bean named 'environment' 
[2020-03-25 07:36:49,869] DEBUG o.s.b.f.s.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'webServerFactoryCustomizerBeanPostProcessor' 
[2020-03-25 07:36:49,871] DEBUG o.s.b.f.s.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'errorPageRegistrarBeanPostProcessor' 
[2020-03-25 07:36:49,876] DEBUG o.s.u.c.s.UiApplicationContextUtils  - Unable to locate ThemeSource with name 'themeSource': using default [org.springframework.ui.context.support.ResourceBundleThemeSource@7ff2a664] 
[2020-03-25 07:36:49,877] DEBUG o.s.b.f.s.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'tomcatServletWebServerFactory' 
